unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
1,1st A-declension,pneumonia,pneumoniae,Noun,feminine,pneumonia,lung inflammation,die Pneumonie,Lungenentzündung,pneumónia,zápal pľúc,
1,1st A-declension,post,,Preposition,,after,,nach,,po,,Acc.
1,1st A-declension,"profundus, profunda, profundum",,Adjective,,deep / profound,,tief,,hlboký,,
1,1st A-declension,rhaphē,rhaphēs,Noun,feminine,suture,,die Naht,,šev,,
1,1st A-declension,rīma,rīmae,Noun,feminine,slit / fissure,,der Spalt,,štrbina,,
1,1st A-declension,ruptūra,ruptūrae,Noun,feminine,rupture,,die Ruptur,,ruptúra,,
1,1st A-declension,scapula,scapulae,Noun,feminine,scapula / shoulder blade,,das Schulterblatt,,lopatka,,
1,1st A-declension,scatula,scatulae,Noun,feminine,box,,die Schachtel,,škatuľa,,
1,1st A-declension,"sinister, sinistra, sinistrum",,Adjective,,left (side),,links,,ľavý,,
1,1st A-declension,spīna,spīnae,Noun,feminine,"spine, ridge, crest, linear elevation",,der Dorn,,tŕň,,
1,1st A-declension,"spurius, spuria, spurium",,Adjective,,false,,falsch,,nepravý,,
1,1st A-declension,substantia,substantiae,Noun,feminine,substance,,die Substanz,,látka,,
1,1st A-declension,sūtūra,sūtūrae,Noun,feminine,"1. suture (anat.) 2. surgical stitch (clin.)",,die Naht,,šev,,
1,1st A-declension,"systemicus, systemica, systemicum",,Adjective,,systemic,,systemisch,,systémový,,
1,1st A-declension,systolē,systolēs,Noun,feminine,systole,phase of contraction of the heart muscle,die Systole,Kontraktionsphase des Herzmuskels,systola,fáza kontrakcie srdcového svalu,
1,1st A-declension,"thorācicus, thorācica, thorācicum",,Adjective,,thoracic,,thorakal,,hrudný,,
1,1st A-declension,"thyreoīdeus, thyreoīdea, thyreoīdeum",,Adjective,,thyroid,,thyreoidal,,štítny,,
1,1st A-declension,tonsilla,tonsillae,Noun,feminine,tonsil,,die Mandel,,mandľa,,
1,1st A-declension,"trānsversus, trānsversa, trānsversum",,Adjective,,transversal,,quer,,priečny,,
1,1st A-declension,tunica,tunicae,Noun,feminine,"tunic, layer",,die Tunika,,blana,,
1,1st A-declension,tunica mucōsa,tunicae mucōsae,Noun,feminine,mucous membrane,,die Schleimhaut,,sliznica,,
1,1st A-declension,ulna,ulnae,Noun,feminine,ulna / elbow bone,,die Elle,,lakťová kosť,,
1,1st A-declension,"ūrīnarius, ūrīnaria, ūrīnarium",,Adjective,,urinary,,urinär,,močový,,
1,1st A-declension,vāgīna,vāgīnae,Noun,feminine,"1. vagina, genital canal in the female 2. sheath (in tendons / bones)",,die Vagina,,pošva,,
1,1st A-declension,"valgus, valga, valgum",,Adjective,,valgus,"turned/displaced inwards from the central line",valgus,"nach innen von der Mittellinie abweichend",valgózny,"vychýlený dovnútra od stredovej línie",,
1,1st A-declension,valvula,valvulae,Noun,feminine,valvule (small valve),,die Klappe,,chlopnička,,
1,1st A-declension,"vārus, vāra, vārum",,Adjective,,varus,"turned/displaced outwards from the central line",varus,"nach außen von der Mittellinie abweichend",varózny,"vychýlený von od stredovej línie",,
1,1st A-declension,vēna,vēnae,Noun,feminine,vein,,die Vene,,žila,,
1,1st A-declension,vertebra,vertebrae,Noun,feminine,vertebra,,der Wirbel,,stavec,,
1,1st A-declension,"vērus, vēra, vērum",,Adjective,,true,,wahr,,pravý,,
1,1st A-declension,vēsica,vēsicae,Noun,feminine,bladder,,die Blase,,mechúr,,
1,1st A-declension,vēsica fellea,vēsicae felleae,Noun,feminine,gall bladder,,die Gallenblase,,žlčník,,
1,1st A-declension,vēsica ūrīnaria,vēsicae ūrīnariae,Noun,feminine,urinary bladder,,die Harnblase,,močový mechúr,,

2,2nd O-declension,acromion,acromiī,Noun,neuter,acromion / acromial process,,das Akromion,,akromion,,
2,2nd O-declension,"acquīsitus, acquīsita, acquīsitum",,Adjective,,acquired,,erworben,,získaný,,
2,2nd O-declension,adultus,adultī,Noun,masculine,adult,,der Erwachsene,,dospelý,,
2,2nd O-declension,allergia,allergiae,Noun,feminine,allergy,,die Allergie,,alergia,,
2,2nd O-declension,amygdala,amygdalae,Noun,feminine,"1. tonsil 2. almond",,die Mandel,,mandľa,,
2,2nd O-declension,"anatomicus, anatomica, anatomicum",,Adjective,,anatomical,,anatomisch,,anatomický,,
2,2nd O-declension,angulus,angulī,Noun,masculine,angle,,der Winkel,,uhol,,
2,2nd O-declension,anomalia,anomaliae,Noun,feminine,"anomaly, defect",,die Anomalie,,anomália,,
2,2nd O-declension,atrium,atriī,Noun,neuter,atrium,upper chamber of the heart,das Atrium,oberer Herzvorhof,atrium,,
2,2nd O-declension,bronchus,bronchī,Noun,masculine,bronchus,,der Bronchus,,prieduška,,
2,2nd O-declension,bulbus,bulbī,Noun,masculine,bulb / ball,,der Bulbus,,cibuľka,,
2,2nd O-declension,canāliculus,canāliculī,Noun,masculine,canaliculus,small canal,der Kanalikel,,kanálik,,
2,2nd O-declension,cancer,cancrī,Noun,masculine,cancer,,der Krebs,,rakovina,,
2,2nd O-declension,cerebrum,cerebrī,Noun,neuter,brain,,das Gehirn,,mozog,,
