atc_code,atc_name,parent_code,level
A07BA,Charcoal preparations,A07B,4
A07BB,Bismuth preparations,A07B,4
A07BC,Other intestinal adsorbents,A07B,4
A07CA,Oral rehydration salt formulations,A07C,4
A07DA,Antipropulsives,A07D,4
A07EA,Corticosteroids acting locally,A07E,4
A07EB,"Antiallergic agents, excl. corticosteroids",A07E,4
A07EC,Aminosalicylic acid and similar agents,A07E,4
A07FA,Antidiarrheal microorganisms,A07F,4
A07XA,Other antidiarrheals,A07X,4
A08AA,Centrally acting antiobesity products,A08A,4
A08AB,Peripherally acting antiobesity products,A08A,4
A08AX,Other antiobesity drugs,A08A,4
A09AA,Enzyme preparations,A09A,4
A09AB,Acid preparations,A09A,4
A09AC,"Enzyme and acid preparations, combinations",A09A,4
A10AB,"Insulins and analogues for injection, fast-acting",A10A,4
A10AC,"Insulins and analogues for injection, intermediate-acting",A10A,4
A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10A,4
A10AE,"Insulins and analogues for injection, long-acting",A10A,4
A10AF,Insulins and analogues for inhalation,A10A,4
A10BA,Biguanides,A10B,4
A10BB,Sulfonylureas,A10B,4
A10BC,Sulfonamides (heterocyclic),A10B,4
A10BD,Combinations of oral blood glucose lowering drugs,A10B,4
A10BF,Alpha glucosidase inhibitors,A10B,4
A10BG,Thiazolidinediones,A10B,4
A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,A10B,4
A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,A10B,4
A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,A10B,4
A10BX,"Other blood glucose lowering drugs, excl. insulins",A10B,4
A10XA,Aldose reductase inhibitors,A10X,4
A10XX,Other drugs used in diabetes,A10X,4
A11AA,Multivitamins with minerals,A11A,4
A11AB,"Multivitamins, other combinations",A11A,4
A11BA,"Multivitamins, plain",A11B,4
A11CA,"Vitamin A, plain",A11C,4
A11CB,Vitamin A and D in combination,A11C,4
A11CC,Vitamin D and analogues,A11C,4
A11DA,"Vitamin B1, plain",A11D,4
A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,A11D,4
A11EA,"Vitamin B-complex, plain",A11E,4
A11EB,Vitamin B-complex with vitamin C,A11E,4
A11EC,Vitamin B-complex with minerals,A11E,4
A11ED,Vitamin B-complex with anabolic steroids,A11E,4
A11EX,"Vitamin B-complex, other combinations",A11E,4
A11GA,"Ascorbic acid (vitamin C), plain",A11G,4
A11GB,"Ascorbic acid (vitamin C), combinations",A11G,4
A11HA,Other plain vitamin preparations,A11H,4
A11JA,Combinations of vitamins,A11J,4
A11JB,Vitamins with minerals,A11J,4
A11JC,"Vitamins, other combinations",A11J,4
A12AA,Calcium,A12A,4
A12AX,"Calcium, combinations with vitamin D and/or other drugs",A12A,4
A12BA,Potassium,A12B,4
A12CA,Sodium,A12C,4
A12CB,Zinc,A12C,4
A12CC,Magnesium,A12C,4
A12CD,Fluoride,A12C,4
A12CE,Selenium,A12C,4
A12CX,Other mineral products,A12C,4
A14AA,Androstan derivatives,A14A,4
A14AB,Estren derivatives,A14A,4
A16AA,Amino acids and derivatives,A16A,4
A16AB,Enzymes,A16A,4
A16AX,Various alimentary tract and metabolism products,A16A,4
B,BLOOD AND BLOOD FORMING ORGANS,,1
B01,ANTITHROMBOTIC AGENTS,B,2
B02,ANTIHEMORRHAGICS,B,2
B03,ANTIANEMIC PREPARATIONS,B,2
B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B,2
B06,OTHER HEMATOLOGICAL AGENTS,B,2
B01A,ANTITHROMBOTIC AGENTS,B01,3
B02A,ANTIFIBRINOLYTICS,B02,3
B02B,VITAMIN K AND OTHER HEMOSTATICS,B02,3
B03A,IRON PREPARATIONS,B03,3
B03B,VITAMIN B12 AND FOLIC ACID,B03,3
B03X,OTHER ANTIANEMIC PREPARATIONS,B03,3
B05A,BLOOD AND RELATED PRODUCTS,B05,3
B05B,I.V. SOLUTIONS,B05,3
B05C,IRRIGATING SOLUTIONS,B05,3
B05D,PERITONEAL DIALYTICS,B05,3
B05X,I.V. SOLUTION ADDITIVES,B05,3
B05Z,HEMODIALYTICS AND HEMOFILTRATES,B05,3
B06A,OTHER HEMATOLOGICAL AGENTS,B06,3
B01AA,Vitamin K antagonists,B01A,4
B01AB,Heparin group,B01A,4
B01AC,Platelet aggregation inhibitors excl. heparin,B01A,4
B01AD,Enzymes,B01A,4
B01AE,Direct thrombin inhibitors,B01A,4
