english_name,slovak_name,atc_primary,atc_all
"rabeprazole, amoxicillin and clarithromycin",,A02BD12,A02BD12
"rabeprazole, amoxicillin and metronidazole",,A02BD13,A02BD13
"vonoprazan, amoxicillin and clarithromycin",,A02BD14,A02BD14
"vonoprazan, amoxicillin and metronidazole",,A02BD15,A02BD15
"omeprazole, amoxicillin and rifabutin",,A02BD16,A02BD16
vonoprazan and amoxicillin,,A02BD17,A02BD17
carbenoxolone,,A02BX01,A02BX01
sucralfate,,A02BX02,A02BX02
pirenzepine,,A02BX03,A02BX03
methiosulfonium chloride,,A02BX04,A02BX04
bismuth subcitrate,,A02BX05,A02BX05
proglumide,,A02BX06,A02BX06
gefarnate,,A02BX07,A02BX07
sulglicotide,,A02BX08,A02BX08
acetoxolone,,A02BX09,A02BX09
zolimidine,,A02BX10,A02BX10
troxipide,,A02BX11,A02BX11
bismuth subnitrate,,A02BX12,A02BX12
alginic acid,,A02BX13,A02BX13
rebamipide,,A02BX14,A02BX14
teprenone,,A02BX15,A02BX15
irsogladine,,A02BX16,A02BX16
"carbenoxolone, combinations excl. psycholeptics",,A02BX51,A02BX51
"carbenoxolone, combinations with psycholeptics",,A02BX71,A02BX71
"gefarnate, combinations with psycholeptics",,A02BX77,A02BX77
oxyphencyclimine,,A03AA01,A03AA01
camylofin,,A03AA03,A03AA03
mebeverine,,A03AA04,A03AA04
trimebutine,,A03AA05,A03AA05
rociverine,,A03AA06,A03AA06
dicycloverine,,A03AA07,A03AA07
dihexyverine,,A03AA08,A03AA08
difemerine,,A03AA09,A03AA09
piperidolate,,A03AA30,A03AA30
benzilone,,A03AB01,A03AB01
glycopyrronium bromide,,A03AB02,A03AB02;R03BB06
oxyphenonium,,A03AB03,A03AB03
penthienate,,A03AB04,A03AB04
propantheline,,A03AB05,A03AB05
otilonium bromide,,A03AB06,A03AB06
methantheline,,A03AB07,A03AB07
tridihexethyl,,A03AB08,A03AB08
isopropamide,,A03AB09,A03AB09
hexocyclium,,A03AB10,A03AB10
poldine,,A03AB11,A03AB11
mepenzolate,,A03AB12,A03AB12
bevonium,,A03AB13,A03AB13
pipenzolate,,A03AB14,A03AB14
diphemanil,,A03AB15,A03AB15
(2-benzhydryloxyethyl)diethyl-methylammonium iodide,,A03AB16,A03AB16
tiemonium iodide,,A03AB17,A03AB17
prifinium bromide,,A03AB18,A03AB18
timepidium bromide,,A03AB19,A03AB19
fenpiverinium,,A03AB21,A03AB21
"oxyphenonium, combinations",,A03AB53,A03AB53
dimethylaminopropionylphenothiazine,,A03AC02,A03AC02
nicofetamide,,A03AC04,A03AC04
tiropramide,,A03AC05,A03AC05
papaverine,,A03AD01,A03AD01;G04BE02
drotaverine,,A03AD02,A03AD02
moxaverine,,A03AD30,A03AD30
alosetron,,A03AE01,A03AE01
cilansetron,,A03AE03,A03AE03
fenpiprane,,A03AX01,A03AX01
diisopromine,,A03AX02,A03AX02
chlorbenzoxamine,,A03AX03,A03AX03
pinaverium,,A03AX04,A03AX04
fenoverine,,A03AX05,A03AX05
idanpramine,,A03AX06,A03AX06
proxazole,,A03AX07,A03AX07
alverine,,A03AX08,A03AX08
trepibutone,,A03AX09,A03AX09
isometheptene,,A03AX10,A03AX10
caroverine,,A03AX11,A03AX11
phloroglucinol,,A03AX12,A03AX12
silicones,,A03AX13,A03AX13
valethamate,,A03AX14,A03AX14
menthae piperitae aetheroleum,,A03AX15,A03AX15
trimethyldiphenylpropylamine,,A03AX30,A03AX30
"alverine, combinations",,A03AX58,A03AX58
atropine,,A03BA01,A03BA01;S01FA01
hyoscyamine,,A03BA03,A03BA03
belladonna total alkaloids,,A03BA04,A03BA04
butylscopolamine,,A03BB01,A03BB01
methylatropine,,A03BB02,A03BB02
methylscopolamine,,A03BB03,A03BB03;S01FA03
fentonium,,A03BB04,A03BB04
cimetropium bromide,,A03BB05,A03BB05
homatropine methylbromide,,A03BB06,A03BB06
isopropamide and psycholeptics,,A03CA01,A03CA01
clidinium and psycholeptics,,A03CA02,A03CA02
oxyphencyclimine and psycholeptics,,A03CA03,A03CA03
otilonium bromide and psycholeptics,,A03CA04,A03CA04
glycopyrronium bromide and psycholeptics,,A03CA05,A03CA05
bevonium and psycholeptics,,A03CA06,A03CA06
ambutonium and psycholeptics,,A03CA07,A03CA07
diphemanil and psycholeptics,,A03CA08,A03CA08
pipenzolate and psycholeptics,,A03CA09,A03CA09
emepronium and psycholeptics,,A03CA30,A03CA30
propantheline and psycholeptics,,A03CA34,A03CA34
methylscopolamine and psycholeptics,,A03CB01,A03CB01
belladonna total alkaloids and psycholeptics,,A03CB02,A03CB02
atropine and psycholeptics,,A03CB03,A03CB03
homatropine methylbromide and psycholeptics,,A03CB04,A03CB04
hyoscyamine and psycholeptics,,A03CB31,A03CB31
tropenzilone and analgesics,,A03DA01,A03DA01
pitofenone and analgesics,,A03DA02,A03DA02
bevonium and analgesics,,A03DA03,A03DA03
ciclonium and analgesics,,A03DA04,A03DA04
camylofin and analgesics,,A03DA05,A03DA05
trospium and analgesics,,A03DA06,A03DA06
tiemonium iodide and analgesics,,A03DA07,A03DA07
butylscopolamine and analgesics,,A03DB04,A03DB04
metoclopramide,,A03FA01,A03FA01
cisapride,,A03FA02,A03FA02
domperidone,,A03FA03,A03FA03
bromopride,,A03FA04,A03FA04
alizapride,,A03FA05,A03FA05
clebopride,,A03FA06,A03FA06
itopride,,A03FA07,A03FA07
cinitapride,,A03FA08,A03FA08
mosapride,,A03FA09,A03FA09
acotiamide,,A03FA10,A03FA10
ondansetron,,A04AA01,A04AA01
granisetron,,A04AA02,A04AA02
tropisetron,,A04AA03,A04AA03
dolasetron,,A04AA04,A04AA04
palonosetron,,A04AA05,A04AA05
"palonosetron, combinations",,A04AA55,A04AA55
scopolamine,,A04AD01,A04AD01;N05CM05;S01FA02
cerium oxalate,,A04AD02,A04AD02
chlorobutanol,,A04AD04,A04AD04
metopimazine,,A04AD05,A04AD05
dronabinol,,A04AD10,A04AD10
nabilone,,A04AD11,A04AD11
aprepitant,,A04AD12,A04AD12
casopitant,,A04AD13,A04AD13
rolapitant,,A04AD14,A04AD14
"scopolamine, combinations",,A04AD51,A04AD51
"chlorobutanol, combinations",,A04AD54,A04AD54
chenodeoxycholic acid,,A05AA01,A05AA01
ursodeoxycholic acid,,A05AA02,A05AA02
cholic acid,,A05AA03,A05AA03
obeticholic acid,,A05AA04,A05AA04
ursodoxicoltaurine,,A05AA05,A05AA05
nicotinyl methylamide,,A05AB01,A05AB01
piprozolin,,A05AX01,A05AX01
hymecromone,,A05AX02,A05AX02
cyclobutyrol,,A05AX03,A05AX03
maralixibat chloride,,A05AX04,A05AX04
odevixibat,,A05AX05,A05AX05
elafibranor,,A05AX06,A05AX06
arginine glutamate,,A05BA01,A05BA01
silymarin,,A05BA03,A05BA03
citiolone,,A05BA04,A05BA04
epomediol,,A05BA05,A05BA05
ornithine oxoglurate,,A05BA06,A05BA06
tidiacic arginine,,A05BA07,A05BA07
glycyrrhizic acid,,A05BA08,A05BA08
metadoxine,,A05BA09,A05BA09
phospholipids,,A05BA10,A05BA10
liquid paraffin,,A06AA01,A06AA01
docusate sodium,,A06AA02,A06AA02
"liquid paraffin, combinations",,A06AA51,A06AA51
oxyphenisatine,,A06AB01,A06AB01
bisacodyl,,A06AB02,A06AB02;A06AG02
dantron,,A06AB03,A06AB03
phenolphthalein,,A06AB04,A06AB04
castor oil,,A06AB05,A06AB05
senna glycosides,,A06AB06,A06AB06
cascara,,A06AB07,A06AB07
sodium picosulfate,,A06AB08,A06AB08
bisoxatin,,A06AB09,A06AB09
contact laxatives in combination,,A06AB20,A06AB20
contact laxatives in combination with belladonna alkaloids,,A06AB30,A06AB30
"bisacodyl, combinations",,A06AB52,A06AB52
"dantron, combinations",,A06AB53,A06AB53
"senna glycosides, combinations",,A06AB56,A06AB56
"cascara, combinations",,A06AB57,A06AB57
"sodium picosulfate, combinations",,A06AB58,A06AB58
ispaghula (psylla seeds),,A06AC01,A06AC01
ethulose,,A06AC02,A06AC02
sterculia,,A06AC03,A06AC03
linseed,,A06AC05,A06AC05
methylcellulose,,A06AC06,A06AC06
triticum (wheat fibre),,A06AC07,A06AC07
polycarbophil calcium,,A06AC08,A06AC08
"ispaghula, combinations",,A06AC51,A06AC51
"sterculia, combinations",,A06AC53,A06AC53
"linseed, combinations",,A06AC55,A06AC55
magnesium sulfate,,A06AD04,A06AD04;A12CC02;B05XA05;D11AX05;V04CC02
mineral salts in combination,,A06AD10,A06AD10
lactulose,,A06AD11,A06AD11
lactitol,,A06AD12,A06AD12
sodium sulfate,,A06AD13,A06AD13;A12CA02
pentaerithrityl,,A06AD14,A06AD14
macrogol,,A06AD15,A06AD15
mannitol,,A06AD16,A06AD16;B05BC01;B05CX04;R05CB16;V04CX04
sodium phosphate,,A06AD17,A06AD17;A06AG01;B05XA09;V03AG05
sorbitol,,A06AD18,A06AD18;A06AG07;B05CX02;V04CC01
magnesium citrate,,A06AD19,A06AD19;A12CC04;B05CB03
sodium tartrate,,A06AD21,A06AD21
"lactulose, combinations",,A06AD61,A06AD61
"macrogol, combinations",,A06AD65,A06AD65
"dantron, incl. combinations",,A06AG03,A06AG03
glycerol,,A06AG04,A06AG04;A06AX01
oil,,A06AG06,A06AG06
"docusate sodium, incl. combinations",,A06AG10,A06AG10
"sodium lauryl sulfoacetate, incl. combinations",,A06AG11,A06AG11
methylnaltrexone bromide,,A06AH01,A06AH01
alvimopan,,A06AH02,A06AH02
naloxegol,,A06AH03,A06AH03
naloxone,,A06AH04,A06AH04;V03AB15
naldemedine,,A06AH05,A06AH05
carbon dioxide producing drugs,,A06AX02,A06AX02
lubiprostone,,A06AX03,A06AX03
linaclotide,,A06AX04,A06AX04
prucalopride,,A06AX05,A06AX05
tegaserod,,A06AX06,A06AX06
plecanatide,,A06AX07,A06AX07
tenapanor,,A06AX08,A06AX08
elobixibat,,A06AX09,A06AX09
nystatin,,A07AA02,A07AA02;D01AA01;G01AA01
streptomycin,,A07AA04,A07AA04;J01GA01
polymyxin B,,A07AA05,A07AA05;J01XB02;S01AA18;S02AA11;S03AA03
paromomycin,,A07AA06,A07AA06
kanamycin,,A07AA08,A07AA08;J01GB04;S01AA24
vancomycin,,A07AA09,A07AA09;J01XA01;S01AA28
colistin,,A07AA10,A07AA10;J01XB01
rifaximin,,A07AA11,A07AA11;D06AX11
fidaxomicin,,A07AA12,A07AA12
rifamycin,,A07AA13,A07AA13;D06AX15;J04AB03;S01AA16;S02AA12
"neomycin, combinations",,A07AA51,A07AA51
"streptomycin, combinations",,A07AA54,A07AA54
phthalylsulfathiazole,,A07AB02,A07AB02
sulfaguanidine,,A07AB03,A07AB03
succinylsulfathiazole,,A07AB04,A07AB04
broxyquinoline,,A07AX01,A07AX01;G01AC06;P01AA01
acetarsol,,A07AX02,A07AX02;G01AB01;P01CD02
nifuroxazide,,A07AX03,A07AX03
nifurzide,,A07AX04,A07AX04
medicinal charcoal,,A07BA01,A07BA01
"medicinal charcoal, combinations",,A07BA51,A07BA51
pectin,,A07BC01,A07BC01
kaolin,,A07BC02,A07BC02
crospovidone,,A07BC03,A07BC03
attapulgite,,A07BC04,A07BC04
diosmectite,,A07BC05,A07BC05
"attapulgite, combinations",,A07BC54,A07BC54
diphenoxylate,,A07DA01,A07DA01
opium,,A07DA02,A07DA02;N02AA02
loperamide,,A07DA03,A07DA03
difenoxin,,A07DA04,A07DA04
loperamide oxide,,A07DA05,A07DA05
eluxadoline,,A07DA06,A07DA06
"morphine, combinations",,A07DA52,A07DA52;N02AA51
"loperamide, combinations",,A07DA53,A07DA53
prednisone,,A07EA03,A07EA03;H02AB07
betamethasone,,A07EA04,A07EA04;C05AA05;D07AC01;D07XC01;H02AB01;R01AD06;R03BA04;S01BA06;S01CB04;S02BA07;S03BA03
tixocortol,,A07EA05,A07EA05;R01AD07
budesonide,,A07EA06,A07EA06;D07AC09;R01AD05;R03BA02
beclometasone,,A07EA07,A07EA07;D07AC15;R01AD01;R03BA01
cromoglicic acid,,A07EB01,A07EB01;D11AH03;R01AC01;R03BC01;S01GX01
sulfasalazine,,A07EC01,A07EC01
mesalazine,,A07EC02,A07EC02
olsalazine,,A07EC03,A07EC03
balsalazide,,A07EC04,A07EC04
lactic acid producing organisms,,A07FA01,A07FA01
saccharomyces boulardii,,A07FA02,A07FA02
escherichia coli,,A07FA03,A07FA03
"lactic acid producing organisms, combinations",,A07FA51,A07FA51
albumin tannate,,A07XA01,A07XA01
ceratonia,,A07XA02,A07XA02
calcium compounds,,A07XA03,A07XA03
racecadotril,,A07XA04,A07XA04
crofelemer,,A07XA06,A07XA06
"albumin tannate, combinations",,A07XA51,A07XA51
phentermine,,A08AA01,A08AA01
fenfluramine,,A08AA02,A08AA02;N03AX26
amfepramone,,A08AA03,A08AA03
dexfenfluramine,,A08AA04,A08AA04
mazindol,,A08AA05,A08AA05
etilamfetamine,,A08AA06,A08AA06
cathine,,A08AA07,A08AA07
clobenzorex,,A08AA08,A08AA08
mefenorex,,A08AA09,A08AA09
sibutramine,,A08AA10,A08AA10
lorcaserin,,A08AA11,A08AA11
setmelanotide,,A08AA12,A08AA12
phentermine and topiramate,,A08AA51,A08AA51
"ephedrine, combinations",,A08AA56,A08AA56
bupropion and naltrexone,,A08AA62,A08AA62
orlistat,,A08AB01,A08AB01
rimonabant,,A08AX01,A08AX01
diastase,,A09AA01,A09AA01
"multienzymes (lipase, protease etc.)",,A09AA02,A09AA02
pepsin,,A09AA03,A09AA03
tilactase,,A09AA04,A09AA04
glutamic acid hydrochloride,,A09AB01,A09AB01
betaine hydrochloride,,A09AB02,A09AB02
hydrochloric acid,,A09AB03,A09AB03;B05XA13
citric acid,,A09AB04,A09AB04
pepsin and acid preparations,,A09AC01,A09AC01
multienzymes and acid preparations,,A09AC02,A09AC02
insulin (human),,A10AB01,A10AB01;A10AC01;A10AD01;A10AE01;A10AF01
insulin (beef),,A10AB02,A10AB02;A10AC02;A10AD02;A10AE02
insulin (pork),,A10AB03,A10AB03;A10AC03;A10AD03;A10AE03
insulin lispro,,A10AB04,A10AB04;A10AC04;A10AD04
insulin aspart,,A10AB05,A10AB05;A10AD05
insulin glulisine,,A10AB06,A10AB06
insulin degludec and insulin aspart,,A10AD06,A10AD06
insulin glargine,,A10AE04,A10AE04
insulin detemir,,A10AE05,A10AE05
insulin degludec,,A10AE06,A10AE06
insulin icodec,,A10AE07,A10AE07
insulin glargine and lixisenatide,,A10AE54,A10AE54
insulin degludec and liraglutide,,A10AE56,A10AE56
phenformin,,A10BA01,A10BA01
metformin,,A10BA02,A10BA02
buformin,,A10BA03,A10BA03
glibenclamide,,A10BB01,A10BB01
chlorpropamide,,A10BB02,A10BB02
tolbutamide,,A10BB03,A10BB03;V04CA01
glibornuride,,A10BB04,A10BB04
tolazamide,,A10BB05,A10BB05
carbutamide,,A10BB06,A10BB06
glipizide,,A10BB07,A10BB07
gliquidone,,A10BB08,A10BB08
gliclazide,,A10BB09,A10BB09
metahexamide,,A10BB10,A10BB10
glisoxepide,,A10BB11,A10BB11
glimepiride,,A10BB12,A10BB12
acetohexamide,,A10BB31,A10BB31
glymidine,,A10BC01,A10BC01
phenformin and sulfonylureas,,A10BD01,A10BD01
metformin and sulfonylureas,,A10BD02,A10BD02
metformin and rosiglitazone,,A10BD03,A10BD03
glimepiride and rosiglitazone,,A10BD04,A10BD04
metformin and pioglitazone,,A10BD05,A10BD05
glimepiride and pioglitazone,,A10BD06,A10BD06
metformin and sitagliptin,,A10BD07,A10BD07
metformin and vildagliptin,,A10BD08,A10BD08
pioglitazone and alogliptin,,A10BD09,A10BD09
metformin and saxagliptin,,A10BD10,A10BD10
metformin and linagliptin,,A10BD11,A10BD11
pioglitazone and sitagliptin,,A10BD12,A10BD12
metformin and alogliptin,,A10BD13,A10BD13
metformin and repaglinide,,A10BD14,A10BD14
metformin and dapagliflozin,,A10BD15,A10BD15
metformin and canagliflozin,,A10BD16,A10BD16
metformin and acarbose,,A10BD17,A10BD17
metformin and gemigliptin,,A10BD18,A10BD18
linagliptin and empagliflozin,,A10BD19,A10BD19
metformin and empagliflozin,,A10BD20,A10BD20
saxagliptin and dapagliflozin,,A10BD21,A10BD21
metformin and evogliptin,,A10BD22,A10BD22
metformin and ertugliflozin,,A10BD23,A10BD23
sitagliptin and ertugliflozin,,A10BD24,A10BD24
"metformin, saxagliptin and dapagliflozin",,A10BD25,A10BD25
metformin and lobeglitazone,,A10BD26,A10BD26
"metformin, linagliptin and empagliflozin",,A10BD27,A10BD27
metformin and teneligliptin,,A10BD28,A10BD28
sitagliptin and dapagliflozin,,A10BD29,A10BD29
acarbose,,A10BF01,A10BF01
miglitol,,A10BF02,A10BF02
voglibose,,A10BF03,A10BF03
troglitazone,,A10BG01,A10BG01
rosiglitazone,,A10BG02,A10BG02
pioglitazone,,A10BG03,A10BG03
lobeglitazone,,A10BG04,A10BG04
sitagliptin,,A10BH01,A10BH01
vildagliptin,,A10BH02,A10BH02
saxagliptin,,A10BH03,A10BH03
alogliptin,,A10BH04,A10BH04
linagliptin,,A10BH05,A10BH05
gemigliptin,,A10BH06,A10BH06
evogliptin,,A10BH07,A10BH07
teneligliptin,,A10BH08,A10BH08
sitagliptin and simvastatin,,A10BH51,A10BH51
gemigliptin and rosuvastatin,,A10BH52,A10BH52
exenatide,,A10BJ01,A10BJ01
liraglutide,,A10BJ02,A10BJ02
lixisenatide,,A10BJ03,A10BJ03
albiglutide,,A10BJ04,A10BJ04
dulaglutide,,A10BJ05,A10BJ05
semaglutide,,A10BJ06,A10BJ06
beinaglutide,,A10BJ07,A10BJ07
dapagliflozin,,A10BK01,A10BK01
canagliflozin,,A10BK02,A10BK02
empagliflozin,,A10BK03,A10BK03
ertugliflozin,,A10BK04,A10BK04
ipragliflozin,,A10BK05,A10BK05
sotagliflozin,,A10BK06,A10BK06
luseogliflozin,,A10BK07,A10BK07
bexagliflozin,,A10BK08,A10BK08
guar gum,,A10BX01,A10BX01
repaglinide,,A10BX02,A10BX02
nateglinide,,A10BX03,A10BX03
pramlintide,,A10BX05,A10BX05
benfluorex,,A10BX06,A10BX06
mitiglinide,,A10BX08,A10BX08
imeglimin,,A10BX15,A10BX15
tirzepatide,,A10BX16,A10BX16
carfloglitazar,,A10BX17,A10BX17
dorzagliatin,,A10BX18,A10BX18
tolrestat,,A10XA01,A10XA01
teplizumab,,A10XX01,A10XX01
multivitamins and iron,,A11AA01,A11AA01
multivitamins and calcium,,A11AA02,A11AA02
"multivitamins and other minerals, incl. combinations",,A11AA03,A11AA03
multivitamins and trace elements,,A11AA04,A11AA04
retinol (vit A),,A11CA01,A11CA01
betacarotene,,A11CA02,A11CA02;D02BB01
ergocalciferol,,A11CC01,A11CC01
dihydrotachysterol,,A11CC02,A11CC02
alfacalcidol,,A11CC03,A11CC03
calcitriol,,A11CC04,A11CC04;D05AX03
colecalciferol,,A11CC05,A11CC05
calcifediol,,A11CC06,A11CC06;H05BX05
"colecalciferol, combinations",,A11CC55,A11CC55
thiamine (vit B1),,A11DA01,A11DA01
sulbutiamine,,A11DA02,A11DA02
benfotiamine,,A11DA03,A11DA03
ascorbic acid (vit C),,A11GA01,A11GA01
ascorbic acid (vit C) and calcium,,A11GB01,A11GB01
