english_name,slovak_name,atc_primary,atc_all
magnesium orotate,,A12CC09,A12CC09
magnesium (different salts in combination),,A12CC30,A12CC30
"fluoride, combinations",,A12CD51,A12CD51
sodium selenate,,A12CE01,A12CE01
sodium selenite,,A12CE02,A12CE02;B05XA20
androstanolone,,A14AA01,A14AA01;G03BB02
stanozolol,,A14AA02,A14AA02
metandienone,,A14AA03,A14AA03;D11AE01
metenolone,,A14AA04,A14AA04
oxymetholone,,A14AA05,A14AA05
quinbolone,,A14AA06,A14AA06
prasterone,,A14AA07,A14AA07;G03XX01
oxandrolone,,A14AA08,A14AA08
norethandrolone,,A14AA09,A14AA09
nandrolone,,A14AB01,A14AB01;S01XA11
ethylestrenol,,A14AB02,A14AB02
oxabolone cipionate,,A14AB03,A14AB03
levocarnitine,,A16AA01,A16AA01
ademetionine,,A16AA02,A16AA02
glutamine,,A16AA03,A16AA03
mercaptamine,,A16AA04,A16AA04;S01XA21
carglumic acid,,A16AA05,A16AA05
betaine,,A16AA06,A16AA06
metreleptin,,A16AA07,A16AA07
alglucerase,,A16AB01,A16AB01
imiglucerase,,A16AB02,A16AB02
agalsidase alfa,,A16AB03,A16AB03
agalsidase beta,,A16AB04,A16AB04
laronidase,,A16AB05,A16AB05
sacrosidase,,A16AB06,A16AB06
alglucosidase alfa,,A16AB07,A16AB07
galsulfase,,A16AB08,A16AB08
idursulfase,,A16AB09,A16AB09
velaglucerase alfa,,A16AB10,A16AB10
taliglucerase alfa,,A16AB11,A16AB11
elosulfase alfa,,A16AB12,A16AB12
asfotase alfa,,A16AB13,A16AB13
sebelipase alfa,,A16AB14,A16AB14
velmanase alfa,,A16AB15,A16AB15
idursulfase beta,,A16AB16,A16AB16
cerliponase alfa,,A16AB17,A16AB17
vestronidase alfa,,A16AB18,A16AB18
pegvaliase,,A16AB19,A16AB19
pegunigalsidase alfa,,A16AB20,A16AB20
atidarsagene autotemcel,,A16AB21,A16AB21
avalglucosidase alfa,,A16AB22,A16AB22
cipaglucosidase alfa,,A16AB23,A16AB23
pegzilarginase,,A16AB24,A16AB24
olipudase alfa,,A16AB25,A16AB25
eladocagene exuparvovec,,A16AB26,A16AB26
pabinafusp alfa,,A16AB27,A16AB27
thioctic acid,,A16AX01,A16AX01
anethole trithione,,A16AX02,A16AX02
sodium phenylbutyrate,,A16AX03,A16AX03
nitisinone,,A16AX04,A16AX04
zinc acetate,,A16AX05,A16AX05
miglustat,,A16AX06,A16AX06
sapropterin,,A16AX07,A16AX07
teduglutide,,A16AX08,A16AX08
glycerol phenylbutyrate,,A16AX09,A16AX09
eliglustat,,A16AX10,A16AX10
sodium benzoate,,A16AX11,A16AX11
trientine,,A16AX12,A16AX12
uridine triacetate,,A16AX13,A16AX13
migalastat,,A16AX14,A16AX14
telotristat,,A16AX15,A16AX15
givosiran,,A16AX16,A16AX16
triheptanoin,,A16AX17,A16AX17
lumasiran,,A16AX18,A16AX18
fosdenopterin,,A16AX19,A16AX19
lonafarnib,,A16AX20,A16AX20
elivaldogene autotemcel,,A16AX21,A16AX21
tiomolibdic acid,,A16AX22,A16AX22
leriglitazone,,A16AX23,A16AX23
sodium benzoate and sodium phenylacetate,,A16AX30,A16AX30
dicoumarol,,B01AA01,B01AA01
phenindione,,B01AA02,B01AA02
warfarin,,B01AA03,B01AA03
phenprocoumon,,B01AA04,B01AA04
acenocoumarol,,B01AA07,B01AA07
ethyl biscoumacetate,,B01AA08,B01AA08
clorindione,,B01AA09,B01AA09
diphenadione,,B01AA10,B01AA10
tioclomarol,,B01AA11,B01AA11
fluindione,,B01AA12,B01AA12
heparin,,B01AB01,B01AB01;C05BA03;S01XA14
antithrombin III,,B01AB02,B01AB02
dalteparin,,B01AB04,B01AB04
enoxaparin,,B01AB05,B01AB05
nadroparin,,B01AB06,B01AB06
parnaparin,,B01AB07,B01AB07
reviparin,,B01AB08,B01AB08
danaparoid,,B01AB09,B01AB09
tinzaparin,,B01AB10,B01AB10
sulodexide,,B01AB11,B01AB11
bemiparin,,B01AB12,B01AB12
"heparin, combinations",,B01AB51,B01AB51;C05BA53
ditazole,,B01AC01,B01AC01
cloricromen,,B01AC02,B01AC02
picotamide,,B01AC03,B01AC03
clopidogrel,,B01AC04,B01AC04
ticlopidine,,B01AC05,B01AC05
dipyridamole,,B01AC07,B01AC07
carbasalate calcium,,B01AC08,B01AC08;N02BA15
epoprostenol,,B01AC09,B01AC09
indobufen,,B01AC10,B01AC10
iloprost,,B01AC11,B01AC11
abciximab,,B01AC13,B01AC13
aloxiprin,,B01AC15,B01AC15;N02BA02
eptifibatide,,B01AC16,B01AC16
tirofiban,,B01AC17,B01AC17
triflusal,,B01AC18,B01AC18
beraprost,,B01AC19,B01AC19
treprostinil,,B01AC21,B01AC21
prasugrel,,B01AC22,B01AC22
cilostazol,,B01AC23,B01AC23
ticagrelor,,B01AC24,B01AC24
cangrelor,,B01AC25,B01AC25
vorapaxar,,B01AC26,B01AC26
selexipag,,B01AC27,B01AC27
limaprost,,B01AC28,B01AC28
"acetylsalicylic acid, combinations with proton pump inhibitors",,B01AC56,B01AC56
streptokinase,,B01AD01,B01AD01
alteplase,,B01AD02,B01AD02;S01XA13
anistreplase,,B01AD03,B01AD03
urokinase,,B01AD04,B01AD04
fibrinolysin,,B01AD05,B01AD05
brinase,,B01AD06,B01AD06
reteplase,,B01AD07,B01AD07
saruplase,,B01AD08,B01AD08
ancrod,,B01AD09,B01AD09
drotrecogin alfa (activated),,B01AD10,B01AD10
tenecteplase,,B01AD11,B01AD11
protein C,,B01AD12,B01AD12
apadamtase alfa and cinaxadamtase alfa,,B01AD13,B01AD13
desirudin,,B01AE01,B01AE01
lepirudin,,B01AE02,B01AE02
argatroban,,B01AE03,B01AE03
melagatran,,B01AE04,B01AE04
ximelagatran,,B01AE05,B01AE05
bivalirudin,,B01AE06,B01AE06
dabigatran etexilate,,B01AE07,B01AE07
rivaroxaban,,B01AF01,B01AF01
apixaban,,B01AF02,B01AF02
edoxaban,,B01AF03,B01AF03
betrixaban,,B01AF04,B01AF04
rivaroxaban and acetylsalicylic acid,,B01AF51,B01AF51
defibrotide,,B01AX01,B01AX01
dermatan sulfate,,B01AX04,B01AX04
fondaparinux,,B01AX05,B01AX05
caplacizumab,,B01AX07,B01AX07
aminocaproic acid,,B02AA01,B02AA01
tranexamic acid,,B02AA02,B02AA02
aminomethylbenzoic acid,,B02AA03,B02AA03
aprotinin,,B02AB01,B02AB01
alfa1 antitrypsin,,B02AB02,B02AB02
camostat,,B02AB04,B02AB04
ulinastatin,,B02AB05,B02AB05
phytomenadione,,B02BA01,B02BA01
menadione,,B02BA02,B02BA02
"fibrinogen, human",,B02BB01,B02BB01
absorbable gelatin sponge,,B02BC01,B02BC01
oxidized cellulose,,B02BC02,B02BC02
tetragalacturonic acid hydroxymethylester,,B02BC03,B02BC03
thrombin,,B02BC06,B02BC06;B02BD30
collagen,,B02BC07,B02BC07;G04BX11
calcium alginate,,B02BC08,B02BC08
"coagulation factor IX, II, VII and X in combination",,B02BD01,B02BD01
coagulation factor VIII,,B02BD02,B02BD02
factor VIII inhibitor bypassing activity,,B02BD03,B02BD03
coagulation factor IX,,B02BD04,B02BD04
coagulation factor VII,,B02BD05,B02BD05
von Willebrand factor and coagulation factor VIII in combination,,B02BD06,B02BD06
coagulation factor XIII,,B02BD07,B02BD07
coagulation factor VIIa,,B02BD08,B02BD08
von Willebrand factor,,B02BD10,B02BD10
catridecacog,,B02BD11,B02BD11
coagulation factor X,,B02BD13,B02BD13
susoctocog alfa,,B02BD14,B02BD14
valoctocogene roxaparvovec,,B02BD15,B02BD15
etranacogene dezaparvovec,,B02BD16,B02BD16
etamsylate,,B02BX01,B02BX01
carbazochrome,,B02BX02,B02BX02
batroxobin,,B02BX03,B02BX03
romiplostim,,B02BX04,B02BX04
eltrombopag,,B02BX05,B02BX05
emicizumab,,B02BX06,B02BX06
lusutrombopag,,B02BX07,B02BX07
avatrombopag,,B02BX08,B02BX08
fostamatinib,,B02BX09,B02BX09
concizumab,,B02BX10,B02BX10
ferrous glycine sulfate,,B03AA01,B03AA01
ferrous fumarate,,B03AA02,B03AA02
ferrous gluconate,,B03AA03,B03AA03
ferrous carbonate,,B03AA04,B03AA04
ferrous chloride,,B03AA05,B03AA05
ferrous succinate,,B03AA06,B03AA06
ferrous sulfate,,B03AA07,B03AA07
ferrous tartrate,,B03AA08,B03AA08
ferrous aspartate,,B03AA09,B03AA09
ferrous ascorbate,,B03AA10,B03AA10
ferrous iodine,,B03AA11,B03AA11
ferrous sodium citrate,,B03AA12,B03AA12
ferric sodium citrate,,B03AB01,B03AB01
saccharated iron oxide,,B03AB02,B03AB02
sodium feredetate,,B03AB03,B03AB03
ferric hydroxide,,B03AB04,B03AB04
ferric oxide polymaltose complexes,,B03AB05,B03AB05
chondroitin sulfate-iron complex,,B03AB07,B03AB07
ferric acetyl transferrin,,B03AB08,B03AB08
ferric proteinsuccinylate,,B03AB09,B03AB09
ferric maltol,,B03AB10,B03AB10
ferrous amino acid complex and folic acid,,B03AD01,B03AD01
ferrous fumarate and folic acid,,B03AD02,B03AD02
ferrous sulfate and folic acid,,B03AD03,B03AD03
ferric oxide polymaltose complexes and folic acid,,B03AD04,B03AD04
ferrous gluconate and folic acid,,B03AD05,B03AD05
"iron, vitamin B12 and folic acid",,B03AE01,B03AE01
"iron, multivitamins and folic acid",,B03AE02,B03AE02
iron and multivitamins,,B03AE03,B03AE03
"iron, multivitamins and minerals",,B03AE04,B03AE04
various combinations,,B03AE10,B03AE10;D10AX30
cyanocobalamin,,B03BA01,B03BA01
cyanocobalamin tannin complex,,B03BA02,B03BA02
hydroxocobalamin,,B03BA03,B03BA03;V03AB33
cobamamide,,B03BA04,B03BA04
mecobalamin,,B03BA05,B03BA05
"cyanocobalamin, combinations",,B03BA51,B03BA51
"hydroxocobalamin, combinations",,B03BA53,B03BA53
folic acid,,B03BB01,B03BB01;V04CX02
"folic acid, combinations",,B03BB51,B03BB51
erythropoietin,,B03XA01,B03XA01
darbepoetin alfa,,B03XA02,B03XA02
methoxy polyethylene glycol-epoetin beta,,B03XA03,B03XA03
peginesatide,,B03XA04,B03XA04
roxadustat,,B03XA05,B03XA05
luspatercept,,B03XA06,B03XA06
daprodustat,,B03XA07,B03XA07
vadadustat,,B03XA08,B03XA08
albumin,,B05AA01,B05AA01
other plasma protein fractions,,B05AA02,B05AA02
fluorocarbon blood substitutes,,B05AA03,B05AA03
dextran,,B05AA05,B05AA05
gelatin agents,,B05AA06,B05AA06
hydroxyethylstarch,,B05AA07,B05AA07
hemoglobin crosfumaril,,B05AA08,B05AA08
hemoglobin raffimer,,B05AA09,B05AA09
hemoglobin glutamer (bovine),,B05AA10,B05AA10
erythrocytes,,B05AX01,B05AX01
thrombocytes,,B05AX02,B05AX02
blood plasma,,B05AX03,B05AX03
stem cells from umbilical cord blood,,B05AX04,B05AX04
amino acids,,B05BA01,B05BA01
fat emulsions,,B05BA02,B05BA02
carbohydrates,,B05BA03,B05BA03
protein hydrolysates,,B05BA04,B05BA04
electrolytes,,B05BB01,B05BB01
electrolytes with carbohydrates,,B05BB02,B05BB02
trometamol,,B05BB03,B05BB03;B05XX02
electrolytes in combination with other drugs,,B05BB04,B05BB04;B05XA31
carbamide,,B05BC02,B05BC02;D02AE01
cetylpyridinium,,B05CA01,B05CA01;D08AJ03;D09AA07;R02AA06
nitrofural,,B05CA03,B05CA03;D08AF01;D09AA03;P01CC02;S01AX04;S02AA02
sulfamethizole,,B05CA04,B05CA04;D06BA04;J01EB02;S01AB01
taurolidine,,B05CA05,B05CA05
mandelic acid,,B05CA06,B05CA06;J01XX06
noxytiolin,,B05CA07,B05CA07
ethacridine lactate,,B05CA08,B05CA08;D08AA01
sodium citrate,,B05CB02,B05CB02
sodium bicarbonate,,B05CB04,B05CB04;B05XA02
glucose,,B05CX01,B05CX01;V04CA02;V06DC01
glycine,,B05CX03,B05CX03
ammonium chloride,,B05XA04,B05XA04;G04BA01
"potassium phosphate, incl. combinations with other potassium salts",,B05XA06,B05XA06
sodium acetate,,B05XA08,B05XA08
magnesium phosphate,,B05XA10,B05XA10
zinc chloride,,B05XA12,B05XA12
sodium glycerophosphate,,B05XA14,B05XA14
potassium lactate,,B05XA15,B05XA15
cardioplegia solutions,,B05XA16,B05XA16
potassium acetate,,B05XA17,B05XA17
combinations of electrolytes,,B05XA30,B05XA30
arginine hydrochloride,,B05XB01,B05XB01
alanyl glutamine,,B05XB02,B05XB02
lysine,,B05XB03,B05XB03
fibrinolysin and desoxyribonuclease,,B06AA02,B06AA02
hyaluronidase,,B06AA03,B06AA03
chymotrypsin,,B06AA04,B06AA04;S01KX01
trypsin,,B06AA07,B06AA07;D03BA01
desoxyribonuclease,,B06AA10,B06AA10
"streptokinase, combinations",,B06AA55,B06AA55
hemin,,B06AB01,B06AB01
"c1-inhibitor, plasma derived",,B06AC01,B06AC01
icatibant,,B06AC02,B06AC02
ecallantide,,B06AC03,B06AC03
conestat alfa,,B06AC04,B06AC04
lanadelumab,,B06AC05,B06AC05
berotralstat,,B06AC06,B06AC06
crizanlizumab,,B06AX01,B06AX01
betibeglogene autotemcel,,B06AX02,B06AX02
voxelotor,,B06AX03,B06AX03
mitapivat,,B06AX04,B06AX04
exagamglogene autotemcel,,B06AX05,B06AX05
acetyldigitoxin,,C01AA01,C01AA01
acetyldigoxin,,C01AA02,C01AA02
digitalis leaves,,C01AA03,C01AA03
digitoxin,,C01AA04,C01AA04
digoxin,,C01AA05,C01AA05
lanatoside C,,C01AA06,C01AA06
deslanoside,,C01AA07,C01AA07
metildigoxin,,C01AA08,C01AA08
gitoformate,,C01AA09,C01AA09
"acetyldigoxin, combinations",,C01AA52,C01AA52
proscillaridin,,C01AB01,C01AB01
"proscillaridin, combinations",,C01AB51,C01AB51
g-strophanthin,,C01AC01,C01AC01
cymarin,,C01AC03,C01AC03
peruvoside,,C01AX02,C01AX02
quinidine,,C01BA01,C01BA01
procainamide,,C01BA02,C01BA02
disopyramide,,C01BA03,C01BA03
sparteine,,C01BA04,C01BA04
ajmaline,,C01BA05,C01BA05
prajmaline,,C01BA08,C01BA08
lorajmine,,C01BA12,C01BA12
hydroquinidine,,C01BA13,C01BA13
"quinidine, combinations excl. psycholeptics",,C01BA51,C01BA51
"quinidine, combinations with psycholeptics",,C01BA71,C01BA71
lidocaine,,C01BB01,C01BB01;C05AD01;D04AB01;N01BB02;R02AD02;S01HA07;S02DA01
mexiletine,,C01BB02,C01BB02
tocainide,,C01BB03,C01BB03
aprindine,,C01BB04,C01BB04
propafenone,,C01BC03,C01BC03
flecainide,,C01BC04,C01BC04
lorcainide,,C01BC07,C01BC07
encainide,,C01BC08,C01BC08
ethacizine,,C01BC09,C01BC09
amiodarone,,C01BD01,C01BD01
bretylium tosilate,,C01BD02,C01BD02
bunaftine,,C01BD03,C01BD03
dofetilide,,C01BD04,C01BD04
ibutilide,,C01BD05,C01BD05
tedisamil,,C01BD06,C01BD06
dronedarone,,C01BD07,C01BD07
moracizine,,C01BG01,C01BG01
cibenzoline,,C01BG07,C01BG07
vernakalant,,C01BG11,C01BG11
etilefrine,,C01CA01,C01CA01
isoprenaline,,C01CA02,C01CA02;R03AB02;R03CB01
norepinephrine,,C01CA03,C01CA03
dopamine,,C01CA04,C01CA04
norfenefrine,,C01CA05,C01CA05
phenylephrine,,C01CA06,C01CA06;C05AX06;R01AA04;R01AB01;R01BA03;S01FB01;S01GA05
dobutamine,,C01CA07,C01CA07
oxedrine,,C01CA08,C01CA08;S01GA06
metaraminol,,C01CA09,C01CA09
methoxamine,,C01CA10,C01CA10
mephentermine,,C01CA11,C01CA11
dimetofrine,,C01CA12,C01CA12
prenalterol,,C01CA13,C01CA13
dopexamine,,C01CA14,C01CA14
gepefrine,,C01CA15,C01CA15
ibopamine,,C01CA16,C01CA16;S01FB03
midodrine,,C01CA17,C01CA17
octopamine,,C01CA18,C01CA18
fenoldopam,,C01CA19,C01CA19
cafedrine,,C01CA21,C01CA21
arbutamine,,C01CA22,C01CA22
theodrenaline,,C01CA23,C01CA23
amezinium metilsulfate,,C01CA25,C01CA25
ephedrine,,C01CA26,C01CA26;R01AA03;R01AB05;R03CA02;S01FB02
droxidopa,,C01CA27,C01CA27
centhaquine,,C01CA28,C01CA28
"etilefrine, combinations",,C01CA51,C01CA51
amrinone,,C01CE01,C01CE01
milrinone,,C01CE02,C01CE02
enoximone,,C01CE03,C01CE03
bucladesine,,C01CE04,C01CE04
angiotensinamide,,C01CX06,C01CX06
xamoterol,,C01CX07,C01CX07
levosimendan,,C01CX08,C01CX08
angiotensin II,,C01CX09,C01CX09
omecamtiv mecarbil,,C01CX10,C01CX10
glyceryl trinitrate,,C01DA02,C01DA02;C05AE01
methylpropylpropanediol dinitrate,,C01DA04,C01DA04
pentaerithrityl tetranitrate,,C01DA05,C01DA05
propatylnitrate,,C01DA07,C01DA07
isosorbide dinitrate,,C01DA08,C01DA08;C05AE02
trolnitrate,,C01DA09,C01DA09
eritrityl tetranitrate,,C01DA13,C01DA13
isosorbide mononitrate,,C01DA14,C01DA14
organic nitrates in combination,,C01DA20,C01DA20
tenitramine,,C01DA38,C01DA38
"glyceryl trinitrate, combinations",,C01DA52,C01DA52
"methylpropylpropanediol dinitrate, combinations",,C01DA54,C01DA54
"pentaerithrityl tetranitrate, combinations",,C01DA55,C01DA55
"propatylnitrate, combinations",,C01DA57,C01DA57
"isosorbide dinitrate, combinations",,C01DA58,C01DA58
"trolnitrate, combinations",,C01DA59,C01DA59
"eritrityl tetranitrate, combinations",,C01DA63,C01DA63
organic nitrates in combination with psycholeptics,,C01DA70,C01DA70
flosequinan,,C01DB01,C01DB01
itramin tosilate,,C01DX01,C01DX01
prenylamine,,C01DX02,C01DX02
oxyfedrine,,C01DX03,C01DX03
benziodarone,,C01DX04,C01DX04
carbocromen,,C01DX05,C01DX05
hexobendine,,C01DX06,C01DX06
etafenone,,C01DX07,C01DX07
heptaminol,,C01DX08,C01DX08
imolamine,,C01DX09,C01DX09
dilazep,,C01DX10,C01DX10
trapidil,,C01DX11,C01DX11
molsidomine,,C01DX12,C01DX12
efloxate,,C01DX13,C01DX13
cinepazet,,C01DX14,C01DX14
cloridarol,,C01DX15,C01DX15
nicorandil,,C01DX16,C01DX16
linsidomine,,C01DX18,C01DX18
nesiritide,,C01DX19,C01DX19
serelaxin,,C01DX21,C01DX21
vericiguat,,C01DX22,C01DX22
"itramin tosilate, combinations",,C01DX51,C01DX51
"prenylamine, combinations",,C01DX52,C01DX52
"oxyfedrine, combinations",,C01DX53,C01DX53
"benziodarone, combinations",,C01DX54,C01DX54
alprostadil,,C01EA01,C01EA01;G04BE01
camphora,,C01EB02,C01EB02
indometacin,,C01EB03,C01EB03;M01AB01;M02AA23;S01BC01
crataegus glycosides,,C01EB04,C01EB04
creatinolfosfate,,C01EB05,C01EB05
fosfocreatine,,C01EB06,C01EB06
"fructose 1,6-diphosphate",,C01EB07,C01EB07
ubidecarenone,,C01EB09,C01EB09
adenosine,,C01EB10,C01EB10
tiracizine,,C01EB11,C01EB11
acadesine,,C01EB13,C01EB13
trimetazidine,,C01EB15,C01EB15
ibuprofen,,C01EB16,C01EB16;G02CC01;M01AE01;M02AA13;R02AX02
ivabradine,,C01EB17,C01EB17
ranolazine,,C01EB18,C01EB18
regadenoson,,C01EB21,C01EB21
meldonium,,C01EB22,C01EB22
tiazotic acid,,C01EB23,C01EB23
mavacamten,,C01EB24,C01EB24
rescinnamine,,C02AA01,C02AA01
reserpine,,C02AA02,C02AA02
combinations of rauwolfia alkaloids,,C02AA03,C02AA03
"rauwolfia alkaloids, whole root",,C02AA04,C02AA04
deserpidine,,C02AA05,C02AA05
methoserpidine,,C02AA06,C02AA06
bietaserpine,,C02AA07,C02AA07
"reserpine, combinations",,C02AA52,C02AA52
"combinations of rauwolfia alkoloids, combinations",,C02AA53,C02AA53
"bietaserpine, combinations",,C02AA57,C02AA57
methyldopa (levorotatory),,C02AB01,C02AB01
methyldopa (racemic),,C02AB02,C02AB02
clonidine,,C02AC01,C02AC01;N02CX02;S01EA04
guanfacine,,C02AC02,C02AC02
tolonidine,,C02AC04,C02AC04
moxonidine,,C02AC05,C02AC05
rilmenidine,,C02AC06,C02AC06
trimetaphan,,C02BA01,C02BA01
mecamylamine,,C02BB01,C02BB01
prazosin,,C02CA01,C02CA01
indoramin,,C02CA02,C02CA02
trimazosin,,C02CA03,C02CA03
doxazosin,,C02CA04,C02CA04
urapidil,,C02CA06,C02CA06
betanidine,,C02CC01,C02CC01
guanethidine,,C02CC02,C02CC02;S01EX01
guanoxan,,C02CC03,C02CC03
debrisoquine,,C02CC04,C02CC04
guanoclor,,C02CC05,C02CC05
guanazodine,,C02CC06,C02CC06
guanoxabenz,,C02CC07,C02CC07
diazoxide,,C02DA01,C02DA01;V03AH01
dihydralazine,,C02DB01,C02DB01
hydralazine,,C02DB02,C02DB02
endralazine,,C02DB03,C02DB03
cadralazine,,C02DB04,C02DB04
minoxidil,,C02DC01,C02DC01;D11AX01
nitroprusside,,C02DD01,C02DD01
pinacidil,,C02DG01,C02DG01
veratrum,,C02KA01,C02KA01
metirosine,,C02KB01,C02KB01
pargyline,,C02KC01,C02KC01
ketanserin,,C02KD01,C02KD01
aprocitentan,,C02KN01,C02KN01
bosentan,,C02KX01,C02KX01
ambrisentan,,C02KX02,C02KX02
sitaxentan,,C02KX03,C02KX03
macitentan,,C02KX04,C02KX04
riociguat,,C02KX05,C02KX05
ambrisentan and tadalafil,,C02KX52,C02KX52
macitentan and tadalafil,,C02KX54,C02KX54
reserpine and diuretics,,C02LA01,C02LA01
rescinnamine and diuretics,,C02LA02,C02LA02
deserpidine and diuretics,,C02LA03,C02LA03
methoserpidine and diuretics,,C02LA04,C02LA04
bietaserpine and diuretics,,C02LA07,C02LA07
"rauwolfia alkaloids, whole root and diuretics",,C02LA08,C02LA08
syrosingopine and diuretics,,C02LA09,C02LA09
combination of rauwolfia alkaloids and diuretics incl. other combinations,,C02LA50,C02LA50
"reserpine and diuretics, combinations with other drugs",,C02LA51,C02LA51
"rescinnamine and diuretics, combinations with other drugs",,C02LA52,C02LA52
"reserpine and diuretics, combinations with psycholeptics",,C02LA71,C02LA71
methyldopa (levorotatory) and diuretics,,C02LB01,C02LB01
clonidine and diuretics,,C02LC01,C02LC01
moxonidine and diuretics,,C02LC05,C02LC05
"clonidine and diuretics, combinations with other drugs",,C02LC51,C02LC51
prazosin and diuretics,,C02LE01,C02LE01
guanethidine and diuretics,,C02LF01,C02LF01
dihydralazine and diuretics,,C02LG01,C02LG01
hydralazine and diuretics,,C02LG02,C02LG02
picodralazine and diuretics,,C02LG03,C02LG03
"dihydralazine and diuretics, combinations with other drugs",,C02LG51,C02LG51
"picodralazine and diuretics, combinations with psycholeptics",,C02LG73,C02LG73
veratrum and diuretics,,C02LK01,C02LK01
pargyline and diuretics,,C02LL01,C02LL01
pinacidil and diuretics,,C02LX01,C02LX01
bendroflumethiazide,,C03AA01,C03AA01
hydroflumethiazide,,C03AA02,C03AA02
hydrochlorothiazide,,C03AA03,C03AA03
chlorothiazide,,C03AA04,C03AA04
polythiazide,,C03AA05,C03AA05
trichlormethiazide,,C03AA06,C03AA06
cyclopenthiazide,,C03AA07,C03AA07
methyclothiazide,,C03AA08,C03AA08
cyclothiazide,,C03AA09,C03AA09
mebutizide,,C03AA13,C03AA13
bendroflumethiazide and potassium,,C03AB01,C03AB01
hydroflumethiazide and potassium,,C03AB02,C03AB02
hydrochlorothiazide and potassium,,C03AB03,C03AB03
chlorothiazide and potassium,,C03AB04,C03AB04
polythiazide and potassium,,C03AB05,C03AB05
trichlormethiazide and potassium,,C03AB06,C03AB06
cyclopenthiazide and potassium,,C03AB07,C03AB07
methyclothiazide and potassium,,C03AB08,C03AB08
cyclothiazide and potassium,,C03AB09,C03AB09
"chlorothiazide, combinations",,C03AH01,C03AH01
"hydroflumethiazide, combinations",,C03AH02,C03AH02
"hydrochlorothiazide, combinations",,C03AX01,C03AX01
quinethazone,,C03BA02,C03BA02
clopamide,,C03BA03,C03BA03
chlortalidone,,C03BA04,C03BA04
mefruside,,C03BA05,C03BA05
clofenamide,,C03BA07,C03BA07
metolazone,,C03BA08,C03BA08
meticrane,,C03BA09,C03BA09
xipamide,,C03BA10,C03BA10
indapamide,,C03BA11,C03BA11
clorexolone,,C03BA12,C03BA12
fenquizone,,C03BA13,C03BA13
"clorexolone, combinations with psycholeptics",,C03BA82,C03BA82
quinethazone and potassium,,C03BB02,C03BB02
clopamide and potassium,,C03BB03,C03BB03
chlortalidone and potassium,,C03BB04,C03BB04
mefruside and potassium,,C03BB05,C03BB05
clofenamide and potassium,,C03BB07,C03BB07
mersalyl,,C03BC01,C03BC01
theobromine,,C03BD01,C03BD01;R03DA07
cicletanine,,C03BX03,C03BX03
furosemide,,C03CA01,C03CA01
bumetanide,,C03CA02,C03CA02
piretanide,,C03CA03,C03CA03
torasemide,,C03CA04,C03CA04
furosemide and potassium,,C03CB01,C03CB01
bumetanide and potassium,,C03CB02,C03CB02
etacrynic acid,,C03CC01,C03CC01
tienilic acid,,C03CC02,C03CC02
muzolimine,,C03CD01,C03CD01
etozolin,,C03CX01,C03CX01
spironolactone,,C03DA01,C03DA01
potassium canrenoate,,C03DA02,C03DA02
canrenone,,C03DA03,C03DA03
eplerenone,,C03DA04,C03DA04
finerenone,,C03DA05,C03DA05
amiloride,,C03DB01,C03DB01
triamterene,,C03DB02,C03DB02
hydrochlorothiazide and potassium-sparing agents,,C03EA01,C03EA01
trichlormethiazide and potassium-sparing agents,,C03EA02,C03EA02
epitizide and potassium-sparing agents,,C03EA03,C03EA03
altizide and potassium-sparing agents,,C03EA04,C03EA04
mebutizide and potassium-sparing agents,,C03EA05,C03EA05
chlortalidone and potassium-sparing agents,,C03EA06,C03EA06
cyclopenthiazide and potassium-sparing agents,,C03EA07,C03EA07
metolazone and potassium-sparing agents,,C03EA12,C03EA12
bendroflumethiazide and potassium-sparing agents,,C03EA13,C03EA13
butizide and potassium-sparing agents,,C03EA14,C03EA14
furosemide and potassium-sparing agents,,C03EB01,C03EB01
bumetanide and potassium-sparing agents,,C03EB02,C03EB02
tolvaptan,,C03XA01,C03XA01
conivaptan,,C03XA02,C03XA02
isoxsuprine,,C04AA01,C04AA01
buphenine,,C04AA02,C04AA02;G02CA02
bamethan,,C04AA31,C04AA31
phentolamine,,C04AB01,C04AB01;V03AB36
tolazoline,,C04AB02,C04AB02;M02AX02
nicotinic acid,,C04AC01,C04AC01;C10AD02
nicotinyl alcohol (pyridylcarbinol),,C04AC02,C04AC02;C10AD05
inositol nicotinate,,C04AC03,C04AC03
ciclonicate,,C04AC07,C04AC07
pentifylline,,C04AD01,C04AD01
xantinol nicotinate,,C04AD02,C04AD02
pentoxifylline,,C04AD03,C04AD03
etofylline nicotinate,,C04AD04,C04AD04
ergoloid mesylates,,C04AE01,C04AE01
nicergoline,,C04AE02,C04AE02
dihydroergocristine,,C04AE04,C04AE04
"ergoloid mesylates, combinations",,C04AE51,C04AE51
"dihydroergocristine, combinations",,C04AE54,C04AE54
kallidinogenase,,C04AF01,C04AF01
cyclandelate,,C04AX01,C04AX01
phenoxybenzamine,,C04AX02,C04AX02
vincamine,,C04AX07,C04AX07
moxisylyte,,C04AX10,C04AX10;G04BE06
bencyclane,,C04AX11,C04AX11
vinburnine,,C04AX17,C04AX17
suloctidil,,C04AX19,C04AX19
buflomedil,,C04AX20,C04AX20
naftidrofuryl,,C04AX21,C04AX21
butalamine,,C04AX23,C04AX23
visnadine,,C04AX24,C04AX24
cetiedil,,C04AX26,C04AX26
cinepazide,,C04AX27,C04AX27
