drug_id,english_name,slovak_name,atc_primary,atc_other,,mechanism_of_action,primary_indications,secondary_indications,routes_of_administration,standard_adult_dose,contraindications_absolute,contraindications_relative,adverse_effects_common,adverse_effects_serious,major_interactions,monitoring_parameters,antidote_or_reversal,half_life,metabolism,elimination
drug_algeldrate,algeldrate,,A02AB02,,,,,,,,,,,,,,,,,,
drug_aluminium_phosphate,aluminium phosphate,,A02AB03,,,,,,,,,,,,,,,,,,
drug_dihydroxialumini_sodium_carbonate,dihydroxialumini sodium carbonate,,A02AB04,,,,,,,,,,,,,,,,,,
drug_aluminium_acetoacetate,aluminium acetoacetate,,A02AB05,,,,,,,,,,,,,,,,,,
drug_aloglutamol,aloglutamol,,A02AB06,,,,,,,,,,,,,,,,,,
drug_aluminium_glycinate,aluminium glycinate,,A02AB07,,,,,,,,,,,,,,,,,,
drug_calcium_carbonate,calcium carbonate,,A02AC01,A12AA04,,,,,,,,,,,,,,,,,
drug_calcium_silicate,calcium silicate,,A02AC02,,,,,,,,,,,,,,,,,,
drug_ordinary_salt_combinations,ordinary salt combinations,,A02AD01,,,,,,,,,,,,,,,,,,
drug_magaldrate,magaldrate,,A02AD02,,,,,,,,,,,,,,,,,,
drug_almagate,almagate,,A02AD03,,,,,,,,,,,,,,,,,,
drug_hydrotalcite,hydrotalcite,,A02AD04,,,,,,,,,,,,,,,,,,
drug_almasilate,almasilate,,A02AD05,,,,,,,,,,,,,,,,,,
drug_magaldrate_and_antiflatulents,magaldrate and antiflatulents,,A02AF01,,,,,,,,,,,,,,,,,,
drug_ordinary_salt_combinations_and_antiflatulents,ordinary salt combinations and antiflatulents,,A02AF02,,,,,,,,,,,,,,,,,,
drug_cimetidine,cimetidine,,A02BA01,,,,,,,,,,,,,,,,,,
drug_ranitidine,ranitidine,,A02BA02,,,,,,,,,,,,,,,,,,
drug_famotidine,famotidine,,A02BA03,,,,,,,,,,,,,,,,,,
drug_nizatidine,nizatidine,,A02BA04,,,,,,,,,,,,,,,,,,
drug_niperotidine,niperotidine,,A02BA05,,,,,,,,,,,,,,,,,,
drug_roxatidine,roxatidine,,A02BA06,,,,,,,,,,,,,,,,,,
drug_ranitidine_bismuth_citrate,ranitidine bismuth citrate,,A02BA07,,,,,,,,,,,,,,,,,,
drug_lafutidine,lafutidine,,A02BA08,,,,,,,,,,,,,,,,,,
drug_cimetidine_combinations,"cimetidine, combinations",,A02BA51,,,,,,,,,,,,,,,,,,
drug_famotidine_combinations,"famotidine, combinations",,A02BA53,,,,,,,,,,,,,,,,,,
drug_misoprostol,misoprostol,,A02BB01,G02AD06,,,,,,,,,,,,,,,,,
drug_enprostil,enprostil,,A02BB02,,,,,,,,,,,,,,,,,,
drug_omeprazole,omeprazole,,A02BC01,,,,,,,,,,,,,,,,,,
drug_pantoprazole,pantoprazole,,A02BC02,,,,,,,,,,,,,,,,,,
drug_lansoprazole,lansoprazole,,A02BC03,,,,,,,,,,,,,,,,,,
drug_rabeprazole,rabeprazole,,A02BC04,,,,,,,,,,,,,,,,,,
drug_esomeprazole,esomeprazole,,A02BC05,,,,,,,,,,,,,,,,,,
drug_dexlansoprazole,dexlansoprazole,,A02BC06,,,,,,,,,,,,,,,,,,
drug_dexrabeprazole,dexrabeprazole,,A02BC07,,,,,,,,,,,,,,,,,,
drug_vonoprazan,vonoprazan,,A02BC08,,,,,,,,,,,,,,,,,,
drug_tegoprazan,tegoprazan,,A02BC09,,,,,,,,,,,,,,,,,,
drug_omeprazole_combinations,"omeprazole, combinations",,A02BC51,,,,,,,,,,,,,,,,,,
drug_lansoprazole_combinations,"lansoprazole, combinations",,A02BC53,,,,,,,,,,,,,,,,,,
drug_rabeprazole_combinations,"rabeprazole, combinations",,A02BC54,,,,,,,,,,,,,,,,,,
drug_omeprazole_amoxicillin_and_metronidazole,"omeprazole, amoxicillin and metronidazole",,A02BD01,,,,,,,,,,,,,,,,,,
drug_lansoprazole_tetracycline_and_metronidazole,"lansoprazole, tetracycline and metronidazole",,A02BD02,,,,,,,,,,,,,,,,,,
drug_lansoprazole_amoxicillin_and_metronidazole,"lansoprazole, amoxicillin and metronidazole",,A02BD03,,,,,,,,,,,,,,,,,,
drug_pantoprazole_amoxicillin_and_clarithromycin,"pantoprazole, amoxicillin and clarithromycin",,A02BD04,,,,,,,,,,,,,,,,,,
drug_omeprazole_amoxicillin_and_clarithromycin,"omeprazole, amoxicillin and clarithromycin",,A02BD05,,,,,,,,,,,,,,,,,,
drug_esomeprazole_amoxicillin_and_clarithromycin,"esomeprazole, amoxicillin and clarithromycin",,A02BD06,,,,,,,,,,,,,,,,,,
drug_lansoprazole_amoxicillin_and_clarithromycin,"lansoprazole, amoxicillin and clarithromycin",,A02BD07,,,,,,,,,,,,,,,,,,
drug_bismuth_subcitrate_tetracycline_and_metronidazole,"bismuth subcitrate, tetracycline and metronidazole",,A02BD08,,,,,,,,,,,,,,,,,,
drug_lansoprazole_clarithromycin_and_tinidazole,"lansoprazole, clarithromycin and tinidazole",,A02BD09,,,,,,,,,,,,,,,,,,
drug_lansoprazole_amoxicillin_and_levofloxacin,"lansoprazole, amoxicillin and levofloxacin",,A02BD10,,,,,,,,,,,,,,,,,,
drug_pantoprazole_amoxicillin_clarithromycin_and_metronidazole,"pantoprazole, amoxicillin, clarithromycin and metronidazole",,A02BD11,,,,,,,,,,,,,,,,,,
drug_rabeprazole_amoxicillin_and_clarithromycin,"rabeprazole, amoxicillin and clarithromycin",,A02BD12,,,,,,,,,,,,,,,,,,
drug_rabeprazole_amoxicillin_and_metronidazole,"rabeprazole, amoxicillin and metronidazole",,A02BD13,,,,,,,,,,,,,,,,,,
drug_vonoprazan_amoxicillin_and_clarithromycin,"vonoprazan, amoxicillin and clarithromycin",,A02BD14,,,,,,,,,,,,,,,,,,
drug_vonoprazan_amoxicillin_and_metronidazole,"vonoprazan, amoxicillin and metronidazole",,A02BD15,,,,,,,,,,,,,,,,,,
drug_omeprazole_amoxicillin_and_rifabutin,"omeprazole, amoxicillin and rifabutin",,A02BD16,,,,,,,,,,,,,,,,,,
drug_vonoprazan_and_amoxicillin,vonoprazan and amoxicillin,,A02BD17,,,,,,,,,,,,,,,,,,
drug_carbenoxolone,carbenoxolone,,A02BX01,,,,,,,,,,,,,,,,,,
drug_sucralfate,sucralfate,,A02BX02,,,,,,,,,,,,,,,,,,
drug_pirenzepine,pirenzepine,,A02BX03,,,,,,,,,,,,,,,,,,
drug_methiosulfonium_chloride,methiosulfonium chloride,,A02BX04,,,,,,,,,,,,,,,,,,
drug_bismuth_subcitrate,bismuth subcitrate,,A02BX05,,,,,,,,,,,,,,,,,,
drug_proglumide,proglumide,,A02BX06,,,,,,,,,,,,,,,,,,
drug_gefarnate,gefarnate,,A02BX07,,,,,,,,,,,,,,,,,,
drug_sulglicotide,sulglicotide,,A02BX08,,,,,,,,,,,,,,,,,,
drug_acetoxolone,acetoxolone,,A02BX09,,,,,,,,,,,,,,,,,,
drug_zolimidine,zolimidine,,A02BX10,,,,,,,,,,,,,,,,,,
drug_troxipide,troxipide,,A02BX11,,,,,,,,,,,,,,,,,,
drug_bismuth_subnitrate,bismuth subnitrate,,A02BX12,,,,,,,,,,,,,,,,,,
drug_alginic_acid,alginic acid,,A02BX13,,,,,,,,,,,,,,,,,,
drug_rebamipide,rebamipide,,A02BX14,,,,,,,,,,,,,,,,,,
drug_teprenone,teprenone,,A02BX15,,,,,,,,,,,,,,,,,,
drug_irsogladine,irsogladine,,A02BX16,,,,,,,,,,,,,,,,,,
drug_carbenoxolone_combinations_excl_psycholeptics,"carbenoxolone, combinations excl. psycholeptics",,A02BX51,,,,,,,,,,,,,,,,,,
drug_carbenoxolone_combinations_with_psycholeptics,"carbenoxolone, combinations with psycholeptics",,A02BX71,,,,,,,,,,,,,,,,,,
drug_gefarnate_combinations_with_psycholeptics,"gefarnate, combinations with psycholeptics",,A02BX77,,,,,,,,,,,,,,,,,,
drug_oxyphencyclimine,oxyphencyclimine,,A03AA01,,,,,,,,,,,,,,,,,,
drug_camylofin,camylofin,,A03AA03,,,,,,,,,,,,,,,,,,
drug_mebeverine,mebeverine,,A03AA04,,,,,,,,,,,,,,,,,,
drug_trimebutine,trimebutine,,A03AA05,,,,,,,,,,,,,,,,,,
drug_rociverine,rociverine,,A03AA06,,,,,,,,,,,,,,,,,,
drug_dicycloverine,dicycloverine,,A03AA07,,,,,,,,,,,,,,,,,,
drug_dihexyverine,dihexyverine,,A03AA08,,,,,,,,,,,,,,,,,,
drug_difemerine,difemerine,,A03AA09,,,,,,,,,,,,,,,,,,
drug_piperidolate,piperidolate,,A03AA30,,,,,,,,,,,,,,,,,,
drug_benzilone,benzilone,,A03AB01,,,,,,,,,,,,,,,,,,
drug_glycopyrronium_bromide,glycopyrronium bromide,,A03AB02,R03BB06,,,,,,,,,,,,,,,,,
drug_oxyphenonium,oxyphenonium,,A03AB03,,,,,,,,,,,,,,,,,,
drug_penthienate,penthienate,,A03AB04,,,,,,,,,,,,,,,,,,
drug_propantheline,propantheline,,A03AB05,,,,,,,,,,,,,,,,,,
drug_otilonium_bromide,otilonium bromide,,A03AB06,,,,,,,,,,,,,,,,,,
drug_methantheline,methantheline,,A03AB07,,,,,,,,,,,,,,,,,,
drug_tridihexethyl,tridihexethyl,,A03AB08,,,,,,,,,,,,,,,,,,
drug_isopropamide,isopropamide,,A03AB09,,,,,,,,,,,,,,,,,,
drug_hexocyclium,hexocyclium,,A03AB10,,,,,,,,,,,,,,,,,,
drug_poldine,poldine,,A03AB11,,,,,,,,,,,,,,,,,,
drug_mepenzolate,mepenzolate,,A03AB12,,,,,,,,,,,,,,,,,,
drug_bevonium,bevonium,,A03AB13,,,,,,,,,,,,,,,,,,
drug_pipenzolate,pipenzolate,,A03AB14,,,,,,,,,,,,,,,,,,
drug_diphemanil,diphemanil,,A03AB15,,,,,,,,,,,,,,,,,,
drug_2_benzhydryloxyethyl_diethyl_methylammonium_iodide,(2-benzhydryloxyethyl)diethyl-methylammonium iodide,,A03AB16,,,,,,,,,,,,,,,,,,
drug_tiemonium_iodide,tiemonium iodide,,A03AB17,,,,,,,,,,,,,,,,,,
drug_prifinium_bromide,prifinium bromide,,A03AB18,,,,,,,,,,,,,,,,,,
drug_timepidium_bromide,timepidium bromide,,A03AB19,,,,,,,,,,,,,,,,,,
drug_fenpiverinium,fenpiverinium,,A03AB21,,,,,,,,,,,,,,,,,,
drug_oxyphenonium_combinations,"oxyphenonium, combinations",,A03AB53,,,,,,,,,,,,,,,,,,
drug_dimethylaminopropionylphenothiazine,dimethylaminopropionylphenothiazine,,A03AC02,,,,,,,,,,,,,,,,,,
drug_nicofetamide,nicofetamide,,A03AC04,,,,,,,,,,,,,,,,,,
drug_tiropramide,tiropramide,,A03AC05,,,,,,,,,,,,,,,,,,
drug_papaverine,papaverine,,A03AD01,G04BE02,,,,,,,,,,,,,,,,,
drug_drotaverine,drotaverine,,A03AD02,,,,,,,,,,,,,,,,,,
drug_moxaverine,moxaverine,,A03AD30,,,,,,,,,,,,,,,,,,
drug_alosetron,alosetron,,A03AE01,,,,,,,,,,,,,,,,,,
drug_cilansetron,cilansetron,,A03AE03,,,,,,,,,,,,,,,,,,
drug_fenpiprane,fenpiprane,,A03AX01,,,,,,,,,,,,,,,,,,
drug_diisopromine,diisopromine,,A03AX02,,,,,,,,,,,,,,,,,,
drug_chlorbenzoxamine,chlorbenzoxamine,,A03AX03,,,,,,,,,,,,,,,,,,
drug_pinaverium,pinaverium,,A03AX04,,,,,,,,,,,,,,,,,,
drug_fenoverine,fenoverine,,A03AX05,,,,,,,,,,,,,,,,,,
drug_idanpramine,idanpramine,,A03AX06,,,,,,,,,,,,,,,,,,
drug_proxazole,proxazole,,A03AX07,,,,,,,,,,,,,,,,,,
drug_alverine,alverine,,A03AX08,,,,,,,,,,,,,,,,,,
drug_trepibutone,trepibutone,,A03AX09,,,,,,,,,,,,,,,,,,
drug_isometheptene,isometheptene,,A03AX10,,,,,,,,,,,,,,,,,,
drug_caroverine,caroverine,,A03AX11,,,,,,,,,,,,,,,,,,
drug_phloroglucinol,phloroglucinol,,A03AX12,,,,,,,,,,,,,,,,,,
drug_silicones,silicones,,A03AX13,,,,,,,,,,,,,,,,,,
drug_valethamate,valethamate,,A03AX14,,,,,,,,,,,,,,,,,,
drug_menthae_piperitae_aetheroleum,menthae piperitae aetheroleum,,A03AX15,,,,,,,,,,,,,,,,,,
drug_trimethyldiphenylpropylamine,trimethyldiphenylpropylamine,,A03AX30,,,,,,,,,,,,,,,,,,
drug_alverine_combinations,"alverine, combinations",,A03AX58,,,,,,,,,,,,,,,,,,
drug_atropine,atropine,,A03BA01,S01FA01,,,,,,,,,,,,,,,,,
drug_hyoscyamine,hyoscyamine,,A03BA03,,,,,,,,,,,,,,,,,,
drug_belladonna_total_alkaloids,belladonna total alkaloids,,A03BA04,,,,,,,,,,,,,,,,,,
drug_butylscopolamine,butylscopolamine,,A03BB01,,,,,,,,,,,,,,,,,,
drug_methylatropine,methylatropine,,A03BB02,,,,,,,,,,,,,,,,,,
drug_methylscopolamine,methylscopolamine,,A03BB03,S01FA03,,,,,,,,,,,,,,,,,
drug_fentonium,fentonium,,A03BB04,,,,,,,,,,,,,,,,,,
drug_cimetropium_bromide,cimetropium bromide,,A03BB05,,,,,,,,,,,,,,,,,,
drug_homatropine_methylbromide,homatropine methylbromide,,A03BB06,,,,,,,,,,,,,,,,,,
drug_isopropamide_and_psycholeptics,isopropamide and psycholeptics,,A03CA01,,,,,,,,,,,,,,,,,,
drug_clidinium_and_psycholeptics,clidinium and psycholeptics,,A03CA02,,,,,,,,,,,,,,,,,,
drug_oxyphencyclimine_and_psycholeptics,oxyphencyclimine and psycholeptics,,A03CA03,,,,,,,,,,,,,,,,,,
drug_otilonium_bromide_and_psycholeptics,otilonium bromide and psycholeptics,,A03CA04,,,,,,,,,,,,,,,,,,
drug_glycopyrronium_bromide_and_psycholeptics,glycopyrronium bromide and psycholeptics,,A03CA05,,,,,,,,,,,,,,,,,,
