muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,type_of_movement,innervation,blood_supply,origo,insercio
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus antitragicus,Antitragicus muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus transversus auriculae,Transverse auricular muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus obliquus auriculae,Oblique auricular muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus corrugator supercilii,Corrugator supercilii muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus procerus,Procerus muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus nasalis,Nasalis muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus nasalis,Nasalis muscle,Pars transversa
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus nasalis,Nasalis muscle,Pars alaris
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus depressor septi nasi,Depressor septi nasi muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus orbicularis oculi,Orbicularis oculi muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus orbicularis oculi,Orbicularis oculi muscle,Pars orbitalis
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus orbicularis oculi,Orbicularis oculi muscle,Pars palpebralis
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus levator labii superioris,Levator labii superioris muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus levator labii superioris alaeque nasi,Levator labii superioris alaeque nasi muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus zygomaticus minor,Zygomaticus minor muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus zygomaticus major,Zygomaticus major muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus levator anguli oris,Levator anguli oris muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus risorius,Risorius muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus buccinator,Buccinator muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus orbicularis oris,Orbicularis oris muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus depressor anguli oris,Depressor anguli oris muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus depressor labii inferioris,Depressor labii inferioris muscle,
Muscles of the Head,Svaly hlavy,Kopfmuskeln,Facial muscles,Mimické svaly,Mimische Muskeln,Musculus mentalis,Mentalis muscle,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus genioglossus,Genioglossus muscle,,,,,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus hyoglossus,Hyoglossus muscle,,,,,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus styloglossus,Styloglossus muscle,,,,,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus longitudinalis superior linguae,Superior longitudinal muscle of tongue,,,,,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus longitudinalis inferior linguae,Inferior longitudinal muscle of tongue,,,,,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus transversus linguae,Transverse muscle of tongue,,,,,
Muscles of the Tongue,Svaly jazyka,Zungenmuskeln,Tongue muscles,Svaly jazyka,Zungenmuskeln,Musculus verticalis linguae,Vertical muscle of tongue,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Superficial neck muscles,Povrchové svaly krku,,Platysma,Platysma muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Deep anterior cervical muscles,Hlboké predné svaly krku,,Musculus longus colli,Longus colli muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Deep anterior cervical muscles,Hlboké predné svaly krku,,Musculus longus capitis,Longus capitis muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suboccipital / prevertebral muscles,Subokcipitálne / prevertebrálne svaly,,Musculus rectus anterior capitis,Rectus anterior capitis muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suboccipital / prevertebral muscles,Subokcipitálne / prevertebrálne svaly,,Musculus rectus lateralis capitis,Rectus lateralis capitis muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,,Musculus scalenus anterior,Anterior scalene muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,,Musculus scalenus medius,Middle scalene muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,,Musculus scalenus posterior,Posterior scalene muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Lateral cervical muscles (Scalene group),Laterálne svaly krku,,Musculus scalenus minimus,Scalenus minimus muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Sternocleidomastoid muscle,Kývač hlavy (m. sternocleidomastoideus),,Musculus sternocleidomastoideus,Sternocleidomastoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Sternocleidomastoid muscle,Kývač hlavy (m. sternocleidomastoideus),,Musculus sternocleidomastoideus,Sternocleidomastoid muscle,Caput sternale,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Sternocleidomastoid muscle,Kývač hlavy (m. sternocleidomastoideus),,Musculus sternocleidomastoideus,Sternocleidomastoid muscle,Caput claviculare,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus digastricus,Digastric muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus digastricus,Digastric muscle,Venter anterior,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus digastricus,Digastric muscle,Venter posterior,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus digastricus,Digastric muscle,Tendo intermedius,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus stylohyoideus,Stylohyoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus mylohyoideus,Mylohyoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Suprahyoid muscles,Suprahyoidné svaly,,Musculus geniohyoideus,Geniohyoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus sternohyoideus,Sternohyoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus omohyoideus,Omohyoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus omohyoideus,Omohyoid muscle,Venter superior,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus omohyoideus,Omohyoid muscle,Venter inferior,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus omohyoideus,Omohyoid muscle,Tendo intermedius,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus sternothyreoideus,Sternothyroid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus thyreohyoideus,Thyrohyoid muscle,,,,,
Muscles of the Neck,Svaly krku,Nackenmuskeln,Infrahyoid muscles,Infrahyoidné svaly,,Musculus levator glandulae thyreoideae,Levator glandulae thyreoideae muscle,,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor superior pharyngis,Superior pharyngeal constrictor muscle,,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor superior pharyngis,Superior pharyngeal constrictor muscle,Pars pterygopharyngea,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor superior pharyngis,Superior pharyngeal constrictor muscle,Pars buccopharyngea,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor medius pharyngis,Middle pharyngeal constrictor muscle,,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor inferior pharyngis,Inferior pharyngeal constrictor muscle,,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor inferior pharyngis,Inferior pharyngeal constrictor muscle,Pars thyropharyngea,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Pharyngeal muscles,Svaly hltanu,,Musculus constrictor inferior pharyngis,Inferior pharyngeal constrictor muscle,Pars cricopharyngea,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Longitudinal pharyngeal muscles,Longitudinálne svaly hltanu,,Musculus stylopharyngeus,Stylopharyngeus muscle,,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Longitudinal pharyngeal muscles,Longitudinálne svaly hltanu,,Musculus palatopharyngeus,Palatopharyngeus muscle,,,,,
Muscles of the Pharynx,Svaly hltanu,Rachenmuskulatur,Longitudinal pharyngeal muscles,Longitudinálne svaly hltanu,,Musculus salpingopharyngeus,Salpingopharyngeus muscle,,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus levator veli palatini,Levator veli palatini muscle,,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus tensor veli palatini,Tensor veli palatini muscle,,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus uvulae,Uvula muscle,,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus palatoglossus,Palatoglossus muscle,,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus palatopharyngeus,Palatopharyngeus muscle,,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus palatopharyngeus,Palatopharyngeus muscle,Fasciculus anterior,,,,
Muscles of the Soft Palate,Svaly mäkkého podnebia,Gaumenmuskulatur ,Palatal muscles,Podnebné svaly,,Musculus palatopharyngeus,Palatopharyngeus muscle,Fasciculus posterior,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,,Musculus pectoralis major,Pectoralis major muscle,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,,Musculus pectoralis major,Pectoralis major muscle,Pars clavicularis,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,,Musculus pectoralis major,Pectoralis major muscle,Pars sternocostalis,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,,Musculus pectoralis major,Pectoralis major muscle,Pars abdominalis,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,,Musculus pectoralis minor,Pectoralis minor muscle,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Anterior thoracic muscles,Predné svaly hrudníka,,Musculus subclavius,Subclavius muscle,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Thoracic wall muscles,Svaly hrudnej steny,,Musculus serratus anterior,Serratus anterior muscle,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Posterior thoracic wall muscles,Zadné svaly hrudníka,,Musculi levatores costarum,Levatores costarum muscles,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Posterior thoracic wall muscles,Zadné svaly hrudníka,,Musculi levatores costarum,Levatores costarum muscles,Levatores longi,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Posterior thoracic wall muscles,Zadné svaly hrudníka,,Musculi levatores costarum,Levatores costarum muscles,Levatores breves,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Intercostal muscles,Medzirebrové svaly,,Musculi intercostales externi,External intercostal muscles,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Intercostal muscles,Medzirebrové svaly,,Musculi intercostales interni,Internal intercostal muscles,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Intercostal muscles,Medzirebrové svaly,,Musculi intercostales intimi,Innermost intercostal muscles,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Thoracic wall muscles,Svaly hrudnej steny,,Musculi subcostales,Subcostal muscles,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Thoracic wall muscles,Svaly hrudnej steny,,Musculus transversus thoracis,Transversus thoracis muscle,,,,,
Muscles of the Thorax,Hrudné svaly,Thoraxmuskulatur,Diaphragm,Bránica,Diaphragma,Diaphragma,Diaphragm,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,,Musculus trapezius,Trapezius muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,,Musculus latissimus dorsi,Latissimus dorsi muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,,Musculus levator scapulae,Levator scapulae muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,,Musculi rhomboidei,Rhomboid muscles,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,,Musculus rhomboideus minor,Rhomboid minor muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Superficial back muscles,Povrchové svaly chrbta,,Musculus rhomboideus major,Rhomboid major muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intermediate back muscles,Stredná vrstva svalov chrbta,,Musculus serratus posterior superior,Serratus posterior superior muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intermediate back muscles,Stredná vrstva svalov chrbta,,Musculus serratus posterior inferior,Serratus posterior inferior muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus erector spinae,Erector spinae muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus iliocostalis,Iliocostalis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus iliocostalis lumborum,Iliocostalis lumborum muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus iliocostalis thoracis,Iliocostalis thoracis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus iliocostalis cervicis,Iliocostalis cervicis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus longissimus,Longissimus muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus longissimus thoracis,Longissimus thoracis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus longissimus cervicis,Longissimus cervicis muscle,,,,,
